Sensor: 208 Hz DRDY streaming.
Tree:   window=75  mlc_odr=104  decim=2  features=2  nodes=3
Class codes: still=0  motion=4

trans#   t_int_us     new_class  host_dt_us  
249      1226370187   4          367         
250      1232022314   0          334         
251      1236261493   4          322         
252      1241914073   0          318         
253      1246153150   4          318         
254      1246859603   0          313         
255      1247566138   4          317         
256      1251805185   0          314         
257      1256044410   4          322         
258      1262404009   0          329         
259      1265936556   4          334         
260      1272294892   0          328         
261      1276533745   4          315         
262      1282186035   0          315         
263      1286424547   4          358         
264      1292075654   0          323         
265      1296314233   4          314         
266      1301966321   0          315         
267      1306205321   4          323         
268      1306911675   0          323         
269      1307618102   4          315         
270      1311856476   0          326         
271      1316095262   4          339         
272      1322453435   0          317         
273      1325985714   4          323         
274      1332343737   0          324         
275      1336582083   4          352         
276      1342233547   0          322         
277      1346471962   4          324         
278      1352123067   0          315         
279      1356362082   4          315         
280      1362013086   0          321         
281      1366251519   4          337         
282      1366957824   0          319         
283      1367664233   4          324         
284      1371902474   0          319         
285      1376140402   4          329         
286      1382497219   0          333         
287      1386028896   4          337         
288      1392386243   0          334         
289      1396624399   4          315         
290      1402275968   0          317         
291      1406514276   4          318         
292      1412165137   0          330         
293      1416403830   4          323         
294      1422055794   0          325         
295      1426293969   4          316         
296      1431945204   0          332         
297      1436183531   4          313         
298      1442541708   0          322         
299      1446073856   4          315         
300      1452432130   0          321         
301      1456670438   4          323         
302      1462321697   0          326         
303      1466559963   4          320         
304      1472210922   0          323         
305      1476449377   4          317         
306      1482100099   0          317         
307      1486338205   4          340         
308      1491989176   0          336         
309      1496227397   4          331         
310      1496933739   0          344         
311      1497640099   4          315         
312      1502584827   0          329         
313      1506116677   4          322         
314      1512473804   0          314         
315      1516711925   4          318         
316      1522363912   0          351         
317      1526602880   4          327         
318      1532253744   0          314         
319      1536492039   4          319         
320      1542143401   0          328         
321      1546381657   4          324         
322      1552032783   0          319         
323      1556270989   4          326         
324      1556977363   0          313         
325      1557683758   4          314         
326      1562628539   0          321         
327      1566160705   4          329         
328      1572518569   0          315         
329      1576757112   4          314         
330      1582407951   0          318         
331      1586646106   4          356         
332      1592296661   0          336         
333      1596534579   4          327         
334      1602184711   0          322         
335      1606422525   4          316         
336      1612072703   0          327         
337      1616310433   4          315         
338      1617016688   0          328         
339      1617722930   4          324         
340      1621960571   0          332         
341      1626199002   4          323         
342      1632556065   0          322         
343      1636794284   4          315         
344      1642445164   0          337         
345      1646683417   4          331         
346      1648096275   0          333         
347      1648802469   4          314         
348      1652333374   0          311         
349      1656570430   4          327         
350      1662219917   0          323         
351      1666457553   4          334         
352      1672107429   0          330         
353      1676344725   4          315         
354      1677050835   0          314         
355      1677756975   4          319         
356      1681994263   0          332         
357      1686231081   4          327         
358      1692586371   0          320         
359      1696823104   4          324         
360      1702472473   0          328         
361      1706709235   4          324         
362      1712358942   0          335         
363      1716595873   4          326         
364      1720126713   0          328         
365      1720832899   4          327         
366      1722245286   0          342         
367      1726482191   4          317         
368      1732131199   0          323         
369      1736367674   4          316         
370      1737073734   0          327         
371      1737779839   4          315         
372      1742016574   0          331         
373      1746253331   4          332         
374      1752609269   0          316         
375      1756845831   4          319         
376      1762495316   0          319         
377      1766732020   4          336         
378      1772380932   0          314         
379      1776617739   4          323         
380      1780148918   0          331         
381      1780854934   4          313         
382      1782267272   0          313         
383      1786504156   4          327         
384      1792153250   0          317         
385      1796390462   4          325         
386      1797096385   0          329         
387      1797802565   4          312         
388      1802041145   0          316         
389      1806278439   4          321         
390      1812634317   0          315         
391      1816871626   4          325         
392      1822521737   0          360         
393      1826759516   4          320         
394      1828172253   0          316         
395      1828878699   4          318         
396      1832410910   0          333         
397      1836648719   4          324         
398      1840180335   0          318         
399      1840886660   4          322         
400      1842299383   0          314         
401      1846537418   4          314         
402      1852188165   0          316         
403      1856426226   4          337         
404      1857132583   0          320         
405      1857838914   4          324         
406      1862076781   0          330         
407      1866314702   4          317         
408      1872671672   0          315         
409      1876909892   4          326         
410      1882561036   0          328         
411      1886799028   4          326         
412      1892449651   0          313         
413      1896687542   4          339         
414      1902337878   0          330         
415      1906576155   4          331         
416      1912227252   0          322         
417      1916465421   4          325         
418      1917171727   0          323         
419      1917878088   4          314         
420      1922116491   0          366         
421      1926354600   4          335         
422      1932711884   0          320         
423      1936949880   4          340         
424      1942600751   0          323         
425      1946838711   4          315         
426      1952489210   0          332         
427      1956727660   4          338         
428      1962378298   0          315         
429      1966616524   4          316         
430      1972267301   0          348         
431      1976505378   4          315         
432      1977211706   0          323         
433      1977918114   4          315         
434      1982156337   0          334         
435      1986394692   4          320         
436      1992752303   0          322         
437      1996284818   4          337         
438      2002641979   0          327         
439      2006879975   4          325         
440      2012530844   0          327         
441      2016769561   4          332         
442      2022421261   0          331         
