09-24-2026 16:04:17 RAM 987/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.093C soc2@48.687C soc0@47.937C gpu@49.437C tj@51.093C soc1@49.843C VDD_IN 8332mW/6666mW VDD_CPU_GPU_CV 4192mW/2497mW VDD_SOC 1428mW/1444mW
09-24-2026 16:04:18 RAM 987/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.218C soc2@48.593C soc0@47.937C gpu@49.625C tj@51.218C soc1@49.937C VDD_IN 8332mW/6720mW VDD_CPU_GPU_CV 4192mW/2552mW VDD_SOC 1428mW/1444mW
09-24-2026 16:04:18 RAM 987/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.25C soc2@48.593C soc0@47.968C gpu@49.5C tj@51.25C soc1@50C VDD_IN 8319mW/6770mW VDD_CPU_GPU_CV 4192mW/2603mW VDD_SOC 1428mW/1443mW
09-24-2026 16:04:19 RAM 987/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.125C soc2@48.656C soc0@47.968C gpu@49.625C tj@51.125C soc1@50C VDD_IN 8319mW/6817mW VDD_CPU_GPU_CV 4192mW/2651mW VDD_SOC 1428mW/1443mW
09-24-2026 16:04:19 RAM 987/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51C soc2@48.75C soc0@47.937C gpu@49.781C tj@51.281C soc1@49.875C VDD_IN 8358mW/6862mW VDD_CPU_GPU_CV 4192mW/2696mW VDD_SOC 1426mW/1442mW
09-24-2026 16:04:20 RAM 987/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.343C soc2@48.781C soc0@48C gpu@49.437C tj@51.343C soc1@49.968C VDD_IN 8358mW/6905mW VDD_CPU_GPU_CV 4192mW/2739mW VDD_SOC 1428mW/1442mW
09-24-2026 16:04:20 RAM 987/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.281C soc2@48.812C soc0@48.031C gpu@49.812C tj@51.281C soc1@50.031C VDD_IN 8332mW/6945mW VDD_CPU_GPU_CV 4192mW/2779mW VDD_SOC 1428mW/1442mW
09-24-2026 16:04:21 RAM 987/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.281C soc2@48.781C soc0@48.062C gpu@49.75C tj@51.156C soc1@50.093C VDD_IN 8372mW/6983mW VDD_CPU_GPU_CV 4192mW/2818mW VDD_SOC 1428mW/1441mW
09-24-2026 16:04:22 RAM 987/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.187C soc2@48.812C soc0@48.125C gpu@49.781C tj@51.187C soc1@50.093C VDD_IN 8372mW/7020mW VDD_CPU_GPU_CV 4192mW/2854mW VDD_SOC 1428mW/1441mW
09-24-2026 16:04:22 RAM 987/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.25C soc2@48.906C soc0@48.312C gpu@49.656C tj@51.25C soc1@50.218C VDD_IN 8372mW/7054mW VDD_CPU_GPU_CV 4192mW/2888mW VDD_SOC 1428mW/1441mW
