05-26-2026 13:25:43 RAM 1646/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.125C soc2@47.437C soc0@46.625C gpu@48.312C tj@50.125C soc1@48.75C VDD_IN 8743mW/7073mW VDD_CPU_GPU_CV 4199mW/2562mW VDD_SOC 1470mW/1490mW
05-26-2026 13:25:44 RAM 1646/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.843C soc2@47.531C soc0@46.687C gpu@48.281C tj@49.843C soc1@48.812C VDD_IN 8703mW/7127mW VDD_CPU_GPU_CV 4199mW/2616mW VDD_SOC 1470mW/1489mW
05-26-2026 13:25:44 RAM 1646/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50C soc2@47.562C soc0@46.75C gpu@48.312C tj@50C soc1@48.843C VDD_IN 8703mW/7178mW VDD_CPU_GPU_CV 4206mW/2668mW VDD_SOC 1470mW/1488mW
05-26-2026 13:25:45 RAM 1646/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50C soc2@47.531C soc0@46.75C gpu@48.312C tj@50C soc1@48.875C VDD_IN 8743mW/7227mW VDD_CPU_GPU_CV 4199mW/2716mW VDD_SOC 1470mW/1488mW
05-26-2026 13:25:45 RAM 1646/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.062C soc2@47.593C soc0@46.906C gpu@48.343C tj@50.062C soc1@48.906C VDD_IN 8743mW/7273mW VDD_CPU_GPU_CV 4199mW/2760mW VDD_SOC 1470mW/1487mW
05-26-2026 13:25:46 RAM 1646/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.187C soc2@47.718C soc0@46.781C gpu@48.406C tj@50.187C soc1@49C VDD_IN 8743mW/7316mW VDD_CPU_GPU_CV 4199mW/2803mW VDD_SOC 1470mW/1487mW
05-26-2026 13:25:46 RAM 1648/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.093C soc2@47.656C soc0@46.843C gpu@48.531C tj@50.093C soc1@49.187C VDD_IN 8743mW/7357mW VDD_CPU_GPU_CV 4199mW/2843mW VDD_SOC 1470mW/1486mW
05-26-2026 13:25:47 RAM 1648/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.25C soc2@47.656C soc0@46.812C gpu@48.468C tj@50.062C soc1@49.031C VDD_IN 8743mW/7395mW VDD_CPU_GPU_CV 4199mW/2880mW VDD_SOC 1470mW/1486mW
05-26-2026 13:25:47 RAM 1646/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.125C soc2@47.75C soc0@46.875C gpu@48.625C tj@50.125C soc1@49.031C VDD_IN 8743mW/7432mW VDD_CPU_GPU_CV 4199mW/2916mW VDD_SOC 1470mW/1485mW
05-26-2026 13:25:48 RAM 1646/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.156C soc2@47.812C soc0@46.968C gpu@48.531C tj@50.156C soc1@49C VDD_IN 8743mW/7466mW VDD_CPU_GPU_CV 4199mW/2950mW VDD_SOC 1470mW/1485mW
