05-26-2026 17:21:18 RAM 1655/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,98%@1728,98%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.875C soc2@45.468C soc0@44.625C gpu@46.343C tj@47.875C soc1@46.875C VDD_IN 8743mW/6663mW VDD_CPU_GPU_CV 4126mW/2172mW VDD_SOC 1510mW/1488mW
05-26-2026 17:21:19 RAM 1655/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.906C soc2@45.593C soc0@44.687C gpu@46.312C tj@47.906C soc1@46.906C VDD_IN 8703mW/6748mW VDD_CPU_GPU_CV 4166mW/2255mW VDD_SOC 1470mW/1487mW
05-26-2026 17:21:19 RAM 1655/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.968C soc2@45.625C soc0@44.781C gpu@46.437C tj@48C soc1@47.062C VDD_IN 8664mW/6825mW VDD_CPU_GPU_CV 4166mW/2332mW VDD_SOC 1470mW/1486mW
05-26-2026 17:21:20 RAM 1655/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.156C soc2@45.75C soc0@44.875C gpu@46.375C tj@48.281C soc1@47.187C VDD_IN 8678mW/6896mW VDD_CPU_GPU_CV 4166mW/2402mW VDD_SOC 1470mW/1486mW
05-26-2026 17:21:20 RAM 1655/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.125C soc2@45.812C soc0@44.687C gpu@46.5C tj@48.093C soc1@47.187C VDD_IN 8678mW/6962mW VDD_CPU_GPU_CV 4166mW/2467mW VDD_SOC 1472mW/1485mW
05-26-2026 17:21:21 RAM 1655/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.281C soc2@45.687C soc0@44.781C gpu@46.437C tj@48.281C soc1@47.093C VDD_IN 8664mW/7023mW VDD_CPU_GPU_CV 4166mW/2528mW VDD_SOC 1470mW/1485mW
05-26-2026 17:21:21 RAM 1655/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.312C soc2@45.718C soc0@44.843C gpu@46.531C tj@48.312C soc1@47.125C VDD_IN 8664mW/7080mW VDD_CPU_GPU_CV 4166mW/2585mW VDD_SOC 1470mW/1484mW
05-26-2026 17:21:22 RAM 1655/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.187C soc2@45.875C soc0@44.906C gpu@46.406C tj@48.187C soc1@47.156C VDD_IN 8664mW/7132mW VDD_CPU_GPU_CV 4166mW/2637mW VDD_SOC 1470mW/1484mW
05-26-2026 17:21:23 RAM 1655/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.375C soc2@45.812C soc0@44.968C gpu@46.781C tj@48.375C soc1@47.187C VDD_IN 8664mW/7182mW VDD_CPU_GPU_CV 4166mW/2687mW VDD_SOC 1470mW/1483mW
05-26-2026 17:21:23 RAM 1655/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.312C soc2@45.812C soc0@45C gpu@46.531C tj@48.312C soc1@47.25C VDD_IN 8664mW/7228mW VDD_CPU_GPU_CV 4166mW/2733mW VDD_SOC 1470mW/1483mW
