09-24-2026 18:34:31 RAM 1110/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.093C soc2@52.437C soc0@52.906C gpu@53.718C tj@54.187C soc1@54.187C VDD_IN 5902mW/6224mW VDD_CPU_GPU_CV 870mW/1074mW VDD_SOC 2337mW/2356mW
09-24-2026 18:34:32 RAM 1110/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.875C soc2@52.437C soc0@52.937C gpu@53.781C tj@54.093C soc1@54.093C VDD_IN 5942mW/6213mW VDD_CPU_GPU_CV 870mW/1066mW VDD_SOC 2337mW/2355mW
09-24-2026 18:34:32 RAM 1110/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,2%@1728,1%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.781C soc2@52.468C soc0@52.625C gpu@53.562C tj@54.125C soc1@54.125C VDD_IN 5942mW/6202mW VDD_CPU_GPU_CV 870mW/1058mW VDD_SOC 2337mW/2354mW
09-24-2026 18:34:33 RAM 1110/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.781C soc2@52.437C soc0@52.906C gpu@53.656C tj@54.187C soc1@54.187C VDD_IN 5902mW/6190mW VDD_CPU_GPU_CV 870mW/1051mW VDD_SOC 2337mW/2353mW
09-24-2026 18:34:33 RAM 1110/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,1%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.875C soc2@52.406C soc0@52.75C gpu@53.75C tj@54.093C soc1@54.093C VDD_IN 5902mW/6180mW VDD_CPU_GPU_CV 870mW/1044mW VDD_SOC 2337mW/2353mW
09-24-2026 18:34:34 RAM 1110/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.812C soc2@52.375C soc0@52.656C gpu@53.406C tj@54.031C soc1@54.031C VDD_IN 5942mW/6171mW VDD_CPU_GPU_CV 870mW/1038mW VDD_SOC 2337mW/2352mW
09-24-2026 18:34:34 RAM 1110/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.843C soc2@52.375C soc0@52.593C gpu@53.625C tj@54.093C soc1@54.093C VDD_IN 5942mW/6163mW VDD_CPU_GPU_CV 870mW/1032mW VDD_SOC 2337mW/2352mW
09-24-2026 18:34:35 RAM 1110/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,1%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.875C soc2@52.312C soc0@52.656C gpu@53.812C tj@53.968C soc1@53.968C VDD_IN 5942mW/6156mW VDD_CPU_GPU_CV 870mW/1027mW VDD_SOC 2337mW/2351mW
09-24-2026 18:34:35 RAM 1110/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.781C soc2@52.312C soc0@52.625C gpu@53.375C tj@53.781C soc1@53.781C VDD_IN 5902mW/6148mW VDD_CPU_GPU_CV 870mW/1022mW VDD_SOC 2337mW/2351mW
09-24-2026 18:34:36 RAM 1110/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.656C soc2@52.25C soc0@52.625C gpu@53.406C tj@53.937C soc1@53.937C VDD_IN 5942mW/6141mW VDD_CPU_GPU_CV 870mW/1017mW VDD_SOC 2337mW/2350mW
09-24-2026 18:34:37 RAM 1110/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.718C soc2@52.312C soc0@52.625C gpu@53.468C tj@53.843C soc1@53.843C VDD_IN 5942mW/6135mW VDD_CPU_GPU_CV 870mW/1012mW VDD_SOC 2337mW/2350mW
09-24-2026 18:34:37 RAM 1110/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.75C soc2@52.25C soc0@52.5C gpu@53.343C tj@53.843C soc1@53.843C VDD_IN 5902mW/6128mW VDD_CPU_GPU_CV 870mW/1008mW VDD_SOC 2337mW/2350mW
09-24-2026 18:34:38 RAM 1110/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.906C soc2@52.156C soc0@52.468C gpu@53.375C tj@53.906C soc1@53.812C VDD_IN 5942mW/6123mW VDD_CPU_GPU_CV 870mW/1004mW VDD_SOC 2337mW/2349mW
