05-26-2026 15:35:55 RAM 1650/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.781C soc2@50.312C soc0@49.875C gpu@51.156C tj@52.781C soc1@51.656C VDD_IN 8743mW/7088mW VDD_CPU_GPU_CV 4199mW/2555mW VDD_SOC 1510mW/1513mW
05-26-2026 15:35:55 RAM 1650/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.875C soc2@50.437C soc0@49.843C gpu@51.187C tj@52.968C soc1@51.593C VDD_IN 8743mW/7147mW VDD_CPU_GPU_CV 4199mW/2613mW VDD_SOC 1510mW/1513mW
05-26-2026 15:35:56 RAM 1650/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.875C soc2@50.406C soc0@49.937C gpu@51.593C tj@53.187C soc1@51.656C VDD_IN 8743mW/7202mW VDD_CPU_GPU_CV 4199mW/2668mW VDD_SOC 1510mW/1513mW
05-26-2026 15:35:56 RAM 1650/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.875C soc2@50.343C soc0@49.781C gpu@51.218C tj@52.875C soc1@51.656C VDD_IN 8743mW/7253mW VDD_CPU_GPU_CV 4199mW/2719mW VDD_SOC 1510mW/1513mW
05-26-2026 15:35:57 RAM 1650/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.937C soc2@50.312C soc0@49.781C gpu@51.562C tj@52.937C soc1@51.531C VDD_IN 8743mW/7301mW VDD_CPU_GPU_CV 4199mW/2767mW VDD_SOC 1510mW/1513mW
05-26-2026 15:35:57 RAM 1650/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.031C soc2@50.468C soc0@49.812C gpu@51.156C tj@53.031C soc1@51.5C VDD_IN 8743mW/7347mW VDD_CPU_GPU_CV 4199mW/2811mW VDD_SOC 1510mW/1513mW
05-26-2026 15:35:58 RAM 1650/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.906C soc2@50.437C soc0@49.718C gpu@51.437C tj@52.906C soc1@51.468C VDD_IN 8743mW/7389mW VDD_CPU_GPU_CV 4199mW/2854mW VDD_SOC 1510mW/1513mW
05-26-2026 15:35:58 RAM 1650/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.906C soc2@50.312C soc0@49.875C gpu@51.343C tj@52.906C soc1@51.593C VDD_IN 8743mW/7429mW VDD_CPU_GPU_CV 4199mW/2893mW VDD_SOC 1510mW/1513mW
05-26-2026 15:35:59 RAM 1650/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.875C soc2@50.406C soc0@49.968C gpu@51.187C tj@52.875C soc1@51.656C VDD_IN 8743mW/7466mW VDD_CPU_GPU_CV 4199mW/2930mW VDD_SOC 1510mW/1513mW
05-26-2026 15:35:59 RAM 1650/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53C soc2@50.375C soc0@49.75C gpu@51.562C tj@53C soc1@51.75C VDD_IN 8743mW/7502mW VDD_CPU_GPU_CV 4199mW/2966mW VDD_SOC 1510mW/1512mW
