05-25-2026 12:27:14 RAM 883/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.656C soc2@48.187C soc0@47.437C gpu@49.031C tj@50.656C soc1@49.625C VDD_IN 8358mW/6565mW VDD_CPU_GPU_CV 4192mW/2407mW VDD_SOC 1426mW/1445mW
05-25-2026 12:27:14 RAM 883/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.687C soc2@48.312C soc0@47.5C gpu@48.906C tj@50.687C soc1@49.656C VDD_IN 8358mW/6639mW VDD_CPU_GPU_CV 4192mW/2481mW VDD_SOC 1426mW/1445mW
05-25-2026 12:27:15 RAM 883/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.812C soc2@48.375C soc0@47.687C gpu@49.156C tj@50.812C soc1@49.718C VDD_IN 8358mW/6708mW VDD_CPU_GPU_CV 4192mW/2549mW VDD_SOC 1426mW/1444mW
05-25-2026 12:27:15 RAM 883/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.937C soc2@48.25C soc0@47.531C gpu@49C tj@50.937C soc1@49.531C VDD_IN 8358mW/6771mW VDD_CPU_GPU_CV 4192mW/2613mW VDD_SOC 1426mW/1443mW
05-25-2026 12:27:16 RAM 883/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.968C soc2@48.343C soc0@47.531C gpu@49.156C tj@50.968C soc1@49.625C VDD_IN 8358mW/6830mW VDD_CPU_GPU_CV 4192mW/2671mW VDD_SOC 1426mW/1443mW
05-25-2026 12:27:16 RAM 883/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.812C soc2@48.375C soc0@47.562C gpu@49.468C tj@50.812C soc1@49.656C VDD_IN 8358mW/6885mW VDD_CPU_GPU_CV 4192mW/2725mW VDD_SOC 1426mW/1442mW
05-25-2026 12:27:17 RAM 883/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.937C soc2@48.437C soc0@47.687C gpu@49.562C tj@50.937C soc1@49.718C VDD_IN 8358mW/6936mW VDD_CPU_GPU_CV 4192mW/2776mW VDD_SOC 1426mW/1441mW
05-25-2026 12:27:17 RAM 883/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.906C soc2@48.531C soc0@47.625C gpu@49.312C tj@50.906C soc1@49.718C VDD_IN 8358mW/6983mW VDD_CPU_GPU_CV 4192mW/2823mW VDD_SOC 1426mW/1441mW
05-25-2026 12:27:18 RAM 883/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51C soc2@48.5C soc0@47.75C gpu@49.468C tj@51C soc1@49.75C VDD_IN 8358mW/7027mW VDD_CPU_GPU_CV 4192mW/2867mW VDD_SOC 1426mW/1440mW
05-25-2026 12:27:18 RAM 883/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.125C soc2@48.625C soc0@47.687C gpu@49.312C tj@51.125C soc1@49.875C VDD_IN 8358mW/7069mW VDD_CPU_GPU_CV 4192mW/2909mW VDD_SOC 1426mW/1440mW
05-25-2026 12:27:19 RAM 883/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.937C soc2@48.468C soc0@47.562C gpu@49.468C tj@50.937C soc1@49.718C VDD_IN 8358mW/7108mW VDD_CPU_GPU_CV 4192mW/2948mW VDD_SOC 1426mW/1440mW
05-25-2026 12:27:19 RAM 883/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.937C soc2@48.562C soc0@47.781C gpu@49.437C tj@50.937C soc1@49.718C VDD_IN 8358mW/7145mW VDD_CPU_GPU_CV 4192mW/2984mW VDD_SOC 1426mW/1439mW
05-25-2026 12:27:20 RAM 883/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51C soc2@48.531C soc0@47.75C gpu@49.281C tj@51C soc1@49.812C VDD_IN 8358mW/7179mW VDD_CPU_GPU_CV 4192mW/3019mW VDD_SOC 1426mW/1439mW
05-25-2026 12:27:20 RAM 883/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.031C soc2@48.562C soc0@47.843C gpu@49.437C tj@51.031C soc1@49.875C VDD_IN 8358mW/7212mW VDD_CPU_GPU_CV 4192mW/3051mW VDD_SOC 1426mW/1438mW
05-25-2026 12:27:21 RAM 883/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.125C soc2@48.687C soc0@48C gpu@49.312C tj@51.125C soc1@49.968C VDD_IN 8358mW/7243mW VDD_CPU_GPU_CV 4192mW/3082mW VDD_SOC 1426mW/1438mW
05-25-2026 12:27:21 RAM 883/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.156C soc2@48.687C soc0@48C gpu@49.406C tj@51.156C soc1@49.968C VDD_IN 8358mW/7272mW VDD_CPU_GPU_CV 4192mW/3111mW VDD_SOC 1426mW/1438mW
05-25-2026 12:27:22 RAM 883/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.125C soc2@48.718C soc0@47.937C gpu@49.656C tj@51.125C soc1@49.937C VDD_IN 8358mW/7300mW VDD_CPU_GPU_CV 4192mW/3139mW VDD_SOC 1426mW/1437mW
05-25-2026 12:27:22 RAM 883/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.187C soc2@48.656C soc0@47.937C gpu@49.406C tj@51.187C soc1@49.968C VDD_IN 8358mW/7327mW VDD_CPU_GPU_CV 4192mW/3165mW VDD_SOC 1426mW/1437mW
