05-25-2026 12:24:03 RAM 897/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.937C soc2@48.5C soc0@47.75C gpu@49.5C tj@50.937C soc1@49.75C VDD_IN 8358mW/7765mW VDD_CPU_GPU_CV 4192mW/3580mW VDD_SOC 1426mW/1437mW
05-25-2026 12:24:04 RAM 897/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.968C soc2@48.468C soc0@47.656C gpu@49.312C tj@50.968C soc1@49.843C VDD_IN 8358mW/7786mW VDD_CPU_GPU_CV 4192mW/3601mW VDD_SOC 1426mW/1437mW
05-25-2026 12:24:04 RAM 897/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.093C soc2@48.562C soc0@47.562C gpu@49.531C tj@51.093C soc1@49.843C VDD_IN 8358mW/7805mW VDD_CPU_GPU_CV 4192mW/3621mW VDD_SOC 1426mW/1436mW
05-25-2026 12:24:05 RAM 897/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.187C soc2@48.5C soc0@47.625C gpu@49.343C tj@51.187C soc1@49.781C VDD_IN 8358mW/7823mW VDD_CPU_GPU_CV 4192mW/3639mW VDD_SOC 1426mW/1436mW
05-25-2026 12:24:05 RAM 897/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.218C soc2@48.531C soc0@47.75C gpu@49.468C tj@51.218C soc1@49.718C VDD_IN 8358mW/7839mW VDD_CPU_GPU_CV 4192mW/3657mW VDD_SOC 1426mW/1436mW
05-25-2026 12:24:06 RAM 897/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.937C soc2@48.562C soc0@47.812C gpu@49.343C tj@50.937C soc1@49.812C VDD_IN 8358mW/7855mW VDD_CPU_GPU_CV 4192mW/3673mW VDD_SOC 1426mW/1435mW
05-25-2026 12:24:06 RAM 897/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.031C soc2@48.531C soc0@47.812C gpu@49.531C tj@51.031C soc1@49.875C VDD_IN 8358mW/7870mW VDD_CPU_GPU_CV 4192mW/3688mW VDD_SOC 1426mW/1435mW
05-25-2026 12:24:07 RAM 897/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.125C soc2@48.656C soc0@47.875C gpu@49.281C tj@51.125C soc1@49.968C VDD_IN 8358mW/7884mW VDD_CPU_GPU_CV 4192mW/3703mW VDD_SOC 1426mW/1435mW
05-25-2026 12:24:07 RAM 897/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.062C soc2@48.656C soc0@47.843C gpu@49.531C tj@51.062C soc1@50.062C VDD_IN 8358mW/7897mW VDD_CPU_GPU_CV 4192mW/3716mW VDD_SOC 1426mW/1434mW
05-25-2026 12:24:08 RAM 897/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.156C soc2@48.812C soc0@48C gpu@49.468C tj@51.156C soc1@50C VDD_IN 8358mW/7910mW VDD_CPU_GPU_CV 4192mW/3729mW VDD_SOC 1426mW/1434mW
