@relation 'MLC'

@attribute F1_ABS_VARIANCE_ACC_V_FILTER_1 numeric
@attribute F2_ABS_PEAK_TO_PEAK_ACC_V_FILTER_1 numeric
@attribute class {still, motion}

@data
3.26633e-05, 0.0229492, still
5.70416e-05, 0.0244141, still
7.46846e-05, 0.03125, still
1.3113e-05, 0.0141602, still
2.30074e-05, 0.0224609, still
8.10623e-06, 0.0117188, still
1.90735e-05, 0.0195313, still
5.25713e-05, 0.0234375, still
1.2815e-05, 0.0161133, still
1.54376e-05, 0.015625, still
1.54972e-05, 0.0146484, still
1.10269e-05, 0.0151367, still
1.83582e-05, 0.0170898, still
2.10404e-05, 0.0180664, still
1.55568e-05, 0.0170898, still
1.31726e-05, 0.0126953, still
1.32322e-05, 0.0151367, still
9.89437e-06, 0.0117188, still
2.01464e-05, 0.0180664, still
1.0848e-05, 0.0141602, still
1.21593e-05, 0.0136719, still
4.50015e-05, 0.0244141, still
7.27177e-06, 0.0107422, still
1.35899e-05, 0.0180664, still
1.0848e-05, 0.0107422, still
8.40425e-06, 0.0112305, still
7.98702e-06, 0.0117188, still
9.41753e-06, 0.0136719, still
9.59635e-06, 0.0126953, still
6.77109e-05, 0.0268555, still
9.35793e-06, 0.0112305, still
1.52588e-05, 0.0166016, still
2.09808e-05, 0.0214844, still
1.98483e-05, 0.0195313, still
9.71556e-06, 0.0117188, still
5.84126e-06, 0.00976563, still
6.85453e-06, 0.0117188, still
1.72853e-05, 0.0146484, still
1.03116e-05, 0.0131836, still
6.61612e-06, 0.0102539, still
6.97374e-06, 0.00976563, still
1.17421e-05, 0.0131836, still
3.39746e-06, 0.00976563, still
1.62125e-05, 0.0166016, still
1.67489e-05, 0.015625, still
2.19345e-05, 0.0195313, still
7.62939e-06, 0.0102539, still
1.41263e-05, 0.0141602, still
1.26362e-05, 0.0146484, still
1.11461e-05, 0.0131836, still
1.2815e-05, 0.0141602, still
1.49012e-05, 0.012207, still
1.58548e-05, 0.0166016, still
7.84993e-05, 0.0297852, still
1.43051e-05, 0.0151367, still
1.74642e-05, 0.0214844, still
9.53674e-06, 0.0107422, still
1.30534e-05, 0.0117188, still
2.05636e-05, 0.0170898, still
6.79493e-06, 0.012207, still
1.80006e-05, 0.0166016, still
6.10948e-05, 0.0288086, still
2.10404e-05, 0.0195313, still
1.51992e-05, 0.0136719, still
8.10623e-06, 0.0117188, still
3.5882e-05, 0.0249023, still
9.41753e-06, 0.012207, still
1.57952e-05, 0.0166016, still
1.23978e-05, 0.0136719, still
1.06096e-05, 0.0136719, still
1.23978e-05, 0.0185547, still
2.0504e-05, 0.0175781, still
2.0504e-05, 0.0151367, still
1.18613e-05, 0.0131836, still
1.84774e-05, 0.0180664, still
9.83477e-06, 0.0117188, still
1.97887e-05, 0.015625, still
1.07884e-05, 0.0146484, still
2.51532e-05, 0.0166016, still
6.85453e-06, 0.0131836, still
1.74046e-05, 0.0180664, still
9.0003e-06, 0.0102539, still
1.87159e-05, 0.0185547, still
1.09673e-05, 0.0112305, still
9.05991e-06, 0.0117188, still
1.90735e-05, 0.0166016, still
7.62939e-06, 0.0146484, still
2.19941e-05, 0.0166016, still
1.23978e-05, 0.0126953, still
2.95043e-05, 0.0244141, still
1.18613e-05, 0.0151367, still
8.16584e-06, 0.0151367, still
8.22544e-06, 0.012207, still
9.0003e-06, 0.0126953, still
1.57952e-05, 0.0151367, still
1.20401e-05, 0.015625, still
1.37687e-05, 0.012207, still
8.58307e-06, 0.0112305, still
2.09212e-05, 0.019043, still
5.84126e-06, 0.0102539, still
1.61529e-05, 0.0180664, still
1.04904e-05, 0.012207, still
1.46031e-05, 0.015625, still
1.04308e-05, 0.0126953, still
1.03116e-05, 0.0117188, still
1.51396e-05, 0.0141602, still
8.76188e-06, 0.0107422, still
1.43647e-05, 0.012207, still
2.25902e-05, 0.019043, still
1.7345e-05, 0.0146484, still
1.26958e-05, 0.0175781, still
7.27177e-06, 0.012207, still
1.04308e-05, 0.0117188, still
1.35303e-05, 0.012207, still
1.3411e-05, 0.015625, still
7.15256e-06, 0.0102539, still
1.93119e-05, 0.0205078, still
9.05991e-06, 0.0117188, still
4.64916e-06, 0.00927734, still
1.12653e-05, 0.0131836, still
9.77516e-06, 0.0131836, still
1.60933e-05, 0.015625, still
1.8537e-05, 0.0200195, still
1.7345e-05, 0.0161133, still
1.41263e-05, 0.0166016, still
3.85046e-05, 0.0263672, still
1.34706e-05, 0.0136719, still
9.0003e-06, 0.0136719, still
1.81198e-05, 0.0175781, still
8.76188e-06, 0.0112305, still
6.13928e-06, 0.0112305, still
1.01924e-05, 0.0126953, still
1.5676e-05, 0.0175781, still
1.85966e-05, 0.012207, still
4.00543e-05, 0.0288086, still
3.3319e-05, 0.0253906, still
5.48363e-06, 0.00927734, still
1.65701e-05, 0.0161133, still
7.51019e-06, 0.0117188, still
1.57356e-05, 0.0141602, still
8.22544e-06, 0.0141602, still
1.50204e-05, 0.0185547, still
4.50611e-05, 0.0263672, still
1.5676e-05, 0.015625, still
1.5974e-05, 0.015625, still
2.28286e-05, 0.0185547, still
1.01328e-05, 0.0131836, still
1.23382e-05, 0.0117188, still
1.46031e-05, 0.0151367, still
9.65595e-06, 0.012207, still
6.91414e-06, 0.00927734, still
4.82798e-05, 0.0224609, still
1.82986e-05, 0.0185547, still
1.43051e-05, 0.0126953, still
1.49608e-05, 0.0175781, still
2.44975e-05, 0.0209961, still
2.39611e-05, 0.019043, still
1.03116e-05, 0.0126953, still
9.77516e-06, 0.0126953, still
1.07288e-05, 0.0131836, still
