# mlc_poller v1
# poll_hz = 50
# duration_sec = 1203
t_monotonic_s, mlc_src
1391452.945976, 4
1391452.966438, 4
1391452.986902, 4
1391453.007369, 4
1391453.027850, 4
1391453.048321, 4
1391453.068790, 4
1391453.089280, 4
1391453.109752, 4
1391453.130216, 4
1391453.150677, 4
1391453.171140, 4
1391453.191606, 4
1391453.212075, 4
1391453.232691, 4
1391453.253151, 4
1391453.273619, 4
1391453.294080, 4
1391453.314540, 4
1391453.335001, 4
1391453.355461, 4
1391453.375921, 4
1391453.396383, 4
1391453.416843, 4
1391453.437303, 4
1391453.457763, 4
1391453.478225, 4
1391453.498685, 4
1391453.519145, 4
1391453.539604, 4
1391453.560072, 4
1391453.580532, 4
1391453.600992, 4
1391453.621451, 4
1391453.641914, 4
1391453.662373, 4
1391453.682833, 4
1391453.703293, 4
1391453.723754, 4
1391453.744217, 4
1391453.764956, 4
1391453.785416, 4
1391453.805875, 4
1391453.826334, 4
1391453.846793, 4
1391453.867252, 4
1391453.887711, 4
1391453.908176, 4
1391453.928636, 4
1391453.949095, 4
1391453.969554, 4
1391453.990013, 4
1391454.010473, 4
1391454.030931, 4
1391454.051393, 4
1391454.071852, 4
1391454.092317, 4
1391454.112810, 4
1391454.133283, 4
1391454.153748, 4
1391454.174213, 4
1391454.194674, 4
1391454.215135, 4
1391454.235598, 4
1391454.256069, 4
1391454.276529, 4
1391454.297137, 4
1391454.317597, 4
1391454.338056, 4
1391454.358516, 4
1391454.378975, 4
1391454.399435, 4
1391454.419896, 4
1391454.440359, 4
1391454.460820, 4
1391454.481279, 4
1391454.501742, 4
1391454.522201, 4
1391454.542661, 4
1391454.563121, 4
1391454.583580, 4
1391454.604006, 4
1391454.624466, 4
1391454.644926, 4
1391454.665386, 4
1391454.685845, 4
1391454.706306, 4
1391454.726765, 4
1391454.747225, 4
1391454.767688, 4
1391454.788148, 4
1391454.808608, 4
1391454.829210, 4
1391454.849675, 4
1391454.870177, 4
1391454.890649, 4
1391454.911112, 4
1391454.931575, 4
1391454.952007, 4
1391454.972467, 4
1391454.992931, 4
1391455.013391, 4
1391455.033850, 4
1391455.054310, 4
1391455.074769, 4
1391455.095229, 4
1391455.115694, 4
1391455.136195, 4
1391455.156667, 4
1391455.177134, 4
1391455.197596, 4
1391455.218058, 4
1391455.238528, 4
1391455.258987, 4
1391455.279447, 4
1391455.300007, 4
1391455.320466, 4
1391455.340926, 4
1391455.361385, 4
1391455.381845, 4
1391455.402305, 4
1391455.422765, 4
1391455.443224, 4
1391455.463683, 4
1391455.484144, 4
1391455.504603, 4
1391455.525062, 4
1391455.545522, 4
1391455.565981, 4
1391455.586441, 4
1391455.606900, 4
1391455.627359, 4
1391455.647820, 4
1391455.668280, 4
1391455.688739, 4
1391455.709200, 4
1391455.729659, 4
1391455.750119, 4
1391455.770875, 4
1391455.791334, 4
1391455.811793, 4
1391455.832254, 4
1391455.852713, 4
1391455.873172, 4
1391455.893631, 4
1391455.914091, 4
1391455.934563, 4
1391455.955025, 4
1391455.975485, 4
1391455.995944, 4
1391456.016405, 4
1391456.036865, 4
1391456.057325, 4
1391456.077785, 4
1391456.098244, 4
1391456.118713, 4
1391456.139177, 4
1391456.159668, 4
1391456.180147, 4
1391456.200623, 4
1391456.221117, 4
1391456.241725, 4
1391456.262188, 4
1391456.282650, 4
1391456.303110, 4
1391456.323570, 4
1391456.344007, 4
1391456.364466, 4
1391456.384927, 4
1391456.405389, 4
1391456.425849, 4
1391456.446309, 4
1391456.466772, 4
1391456.487232, 4
1391456.507692, 4
1391456.528154, 4
1391456.548616, 4
1391456.569077, 4
1391456.589538, 4
1391456.609999, 4
1391456.630460, 4
1391456.650929, 4
1391456.671390, 4
1391456.691850, 4
1391456.712542, 4
1391456.733001, 4
1391456.753462, 4
1391456.773921, 4
1391456.794381, 4
1391456.814842, 4
1391456.835302, 4
1391456.855762, 4
1391456.876223, 4
1391456.896683, 4
1391456.917144, 4
1391456.937603, 4
1391456.958063, 4
1391456.978523, 4
1391456.998982, 4
1391457.019447, 4
1391457.039946, 4
1391457.060419, 4
1391457.080882, 4
1391457.101343, 4
1391457.121804, 4
1391457.142266, 4
1391457.162731, 4
1391457.183429, 4
1391457.203908, 4
1391457.224376, 4
1391457.244839, 4
1391457.265302, 4
1391457.285768, 4
1391457.306230, 4
1391457.326690, 4
1391457.347152, 4
1391457.367613, 4
1391457.388078, 4
1391457.408539, 4
1391457.428999, 4
1391457.449461, 4
1391457.469923, 4
1391457.490384, 4
1391457.510845, 4
1391457.531307, 4
1391457.551766, 4
1391457.572229, 4
1391457.592692, 4
1391457.613154, 4
1391457.633614, 4
1391457.654203, 4
1391457.674662, 4
1391457.695122, 4
1391457.715581, 4
1391457.736006, 4
1391457.756466, 4
1391457.776925, 4
1391457.797384, 4
1391457.817842, 4
1391457.838301, 4
1391457.858760, 4
1391457.879219, 4
1391457.899678, 4
1391457.920138, 4
1391457.940597, 4
1391457.961057, 4
1391457.981515, 4
1391458.001976, 4
1391458.022436, 4
1391458.042895, 4
1391458.063356, 4
1391458.083816, 4
1391458.104278, 4
1391458.124739, 4
1391458.145198, 4
1391458.165657, 4
1391458.186261, 4
1391458.206753, 4
1391458.227227, 4
1391458.247692, 4
1391458.268154, 4
1391458.288615, 4
1391458.309076, 4
1391458.329536, 4
1391458.349995, 4
1391458.370456, 4
1391458.390918, 4
1391458.411378, 4
1391458.431839, 4
1391458.452300, 4
1391458.472760, 4
1391458.493220, 4
1391458.513679, 4
1391458.534141, 4
1391458.554600, 4
1391458.575059, 4
1391458.595522, 4
1391458.615983, 4
1391458.636443, 4
1391458.657102, 4
1391458.677564, 4
1391458.698024, 4
1391458.718483, 4
1391458.738943, 4
1391458.759403, 4
1391458.779864, 4
1391458.800326, 4
1391458.820786, 4
1391458.841246, 4
1391458.861705, 4
1391458.882165, 4
1391458.902625, 4
1391458.923085, 4
1391458.943546, 4
1391458.964006, 4
1391458.984466, 4
1391459.004927, 4
1391459.025387, 4
1391459.045846, 4
1391459.066307, 4
1391459.086766, 4
1391459.107226, 4
1391459.127934, 4
1391459.148393, 4
1391459.168853, 4
1391459.189313, 4
1391459.209778, 4
1391459.230272, 4
1391459.250749, 4
1391459.271212, 4
1391459.291674, 4
1391459.312137, 4
1391459.332597, 4
1391459.353057, 4
1391459.373517, 4
1391459.393979, 4
1391459.414446, 4
1391459.434906, 4
1391459.455367, 4
1391459.475836, 4
1391459.496297, 4
1391459.516757, 4
1391459.537219, 4
1391459.557679, 4
1391459.578139, 4
1391459.598732, 4
1391459.619195, 4
1391459.639656, 4
1391459.660116, 4
1391459.680576, 4
1391459.701036, 4
1391459.721495, 4
1391459.741953, 4
1391459.762414, 4
1391459.782873, 4
1391459.803332, 4
1391459.823791, 4
1391459.844252, 4
1391459.864711, 4
1391459.885170, 4
1391459.905629, 4
1391459.926088, 4
1391459.946548, 4
1391459.967008, 4
1391459.987466, 4
1391460.007934, 4
1391460.028395, 4
1391460.048854, 4
1391460.069555, 4
1391460.090015, 4
1391460.110474, 4
1391460.130933, 4
1391460.151392, 4
1391460.171852, 4
1391460.192312, 4
1391460.212771, 4
1391460.233236, 4
1391460.253728, 4
1391460.274201, 4
1391460.294668, 4
1391460.315129, 4
1391460.335590, 4
1391460.356007, 4
1391460.376468, 4
1391460.396928, 4
1391460.417390, 4
1391460.437850, 4
1391460.458310, 4
1391460.478779, 4
1391460.499240, 4
1391460.519700, 4
1391460.540162, 4
1391460.560622, 4
1391460.581097, 4
1391460.601680, 4
1391460.622140, 4
1391460.642603, 4
1391460.663063, 4
1391460.683522, 4
1391460.703982, 4
1391460.724442, 4
1391460.744901, 4
1391460.765362, 4
1391460.785821, 4
1391460.806280, 4
1391460.826739, 4
1391460.847197, 4
1391460.867657, 4
1391460.888117, 4
1391460.908576, 4
1391460.929036, 4
1391460.949496, 4
1391460.969955, 4
1391460.990414, 4
1391461.010887, 4
1391461.031378, 4
1391461.051848, 4
1391461.072500, 4
1391461.092960, 4
1391461.113421, 4
1391461.133881, 4
1391461.154341, 4
1391461.174801, 4
1391461.195266, 4
1391461.215764, 4
1391461.236237, 4
1391461.256706, 4
1391461.277196, 4
1391461.297672, 4
1391461.318138, 4
1391461.338602, 4
1391461.359067, 4
1391461.379530, 4
1391461.399992, 4
1391461.420461, 4
1391461.440922, 4
1391461.461383, 4
1391461.482124, 4
1391461.502585, 4
1391461.523046, 4
1391461.543507, 4
1391461.563968, 4
1391461.584432, 4
1391461.604892, 4
1391461.625354, 4
1391461.645815, 4
1391461.666278, 4
1391461.686740, 4
1391461.707202, 4
1391461.727665, 4
1391461.748129, 4
1391461.768590, 4
1391461.789050, 4
1391461.809513, 4
1391461.829976, 4
1391461.850437, 4
1391461.870897, 4
1391461.891359, 4
1391461.911819, 4
1391461.932283, 4
1391461.953028, 4
1391461.973487, 4
1391461.993947, 4
1391462.014406, 4
1391462.034866, 4
