Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4
122.637414700,1,0,0,1,1
122.637415980,1,0,0,1,0
122.637416420,1,0,0,0,0
122.637417400,1,0,0,0,1
122.637418660,1,0,0,0,0
122.637419180,1,0,0,1,0
122.637420080,1,0,0,1,1
122.637421360,1,0,0,1,0
122.637421440,1,0,0,0,0
122.637422780,1,0,0,0,1
122.637424040,1,0,0,0,0
122.637426360,1,0,0,0,1
122.637427640,1,0,0,0,0
122.637427860,1,0,0,1,0
122.637429060,1,0,0,1,1
122.637430320,1,0,0,1,0
122.637431740,1,0,0,1,1
122.637433020,1,0,0,1,0
122.637433100,1,0,0,0,0
122.637434440,1,0,0,0,1
122.637435700,1,0,0,0,0
122.637435940,1,0,0,1,0
122.637437140,1,0,0,1,1
122.637438400,1,0,0,1,0
122.637439820,1,0,0,1,1
122.637441080,1,0,0,1,0
122.637441180,1,0,0,0,0
122.637442520,1,0,0,0,1
122.637443780,1,0,0,0,0
122.637445200,1,0,0,0,1
122.637446480,1,0,0,0,0
122.637446700,1,0,0,1,0
122.637447900,1,0,0,1,1
122.637449160,1,0,0,1,0
122.637450060,1,0,0,0,0
122.637451480,1,0,0,0,1
122.637453280,1,0,0,1,1
122.637495020,1,0,0,0,1
122.637496360,1,0,0,0,0
122.637496860,1,0,0,1,0
122.637497760,1,0,0,1,1
122.637499060,1,0,0,1,0
122.637500460,1,0,0,1,1
122.637501740,1,0,0,1,0
122.637502200,1,0,0,0,0
122.637503140,1,0,0,0,1
122.637504440,1,0,0,0,0
122.637504940,1,0,0,1,0
122.637505840,1,0,0,1,1
122.637507120,1,0,0,1,0
122.637507580,1,0,0,0,0
122.637508540,1,0,0,0,1
122.637509820,1,0,0,0,0
122.637510320,1,0,0,1,0
122.637511220,1,0,0,1,1
122.637512500,1,0,0,1,0
122.637512960,1,0,0,0,0
122.637513920,1,0,0,0,1
122.637515200,1,0,0,0,0
122.637516620,1,0,0,0,1
122.637517880,1,0,0,0,0
122.637519300,1,0,0,0,1
122.637520580,1,0,0,0,0
122.637520800,1,0,0,1,0
122.637521460,1,0,0,0,0
122.637522900,1,0,0,0,1
122.637524160,1,0,0,0,0
122.637525580,1,0,0,0,1
122.637526860,1,0,0,0,0
122.637528280,1,0,0,0,1
122.637529540,1,0,0,0,0
122.637530980,1,0,0,0,1
122.637532240,1,0,0,0,0
122.637532780,1,0,0,1,0
122.637533660,1,0,0,1,1
122.637534920,1,0,0,1,0
122.637536360,1,0,0,1,1
122.637537620,1,0,0,1,0
122.637539040,1,0,0,1,1
122.637540300,1,0,0,1,0
122.637541740,1,0,0,1,1
122.637543000,1,0,0,1,0
122.637543100,1,0,0,0,0
122.637544440,1,0,0,0,1
122.637545700,1,0,0,0,0
122.637545920,1,0,0,1,0
122.637546580,1,0,0,0,0
122.637548020,1,0,0,0,1
122.637549820,1,0,0,1,1
122.637597140,1,0,0,0,1
122.637598480,1,0,0,0,0
122.637598960,1,0,0,1,0
122.637599860,1,0,0,1,1
122.637601160,1,0,0,1,0
122.637602560,1,0,0,1,1
122.637603860,1,0,0,1,0
122.637604300,1,0,0,0,0
122.637605260,1,0,0,0,1
122.637606540,1,0,0,0,0
122.637607040,1,0,0,1,0
122.637607960,1,0,0,1,1
122.637609240,1,0,0,1,0
122.637609680,1,0,0,0,0
122.637610640,1,0,0,0,1
122.637611920,1,0,0,0,0
122.637612440,1,0,0,1,0
122.637613340,1,0,0,1,1
122.637614620,1,0,0,1,0
122.637615060,1,0,0,0,0
122.637616040,1,0,0,0,1
122.637617300,1,0,0,0,0
122.637617820,1,0,0,1,0
122.637618720,1,0,0,1,1
122.637620000,1,0,0,1,0
122.637620080,1,0,0,0,0
122.637621420,1,0,0,0,1
122.637622680,1,0,0,0,0
122.637625020,1,0,0,0,1
122.637626280,1,0,0,0,0
122.637626500,1,0,0,1,0
122.637627700,1,0,0,1,1
122.637628960,1,0,0,1,0
122.637630400,1,0,0,1,1
122.637631660,1,0,0,1,0
122.637631760,1,0,0,0,0
122.637633080,1,0,0,0,1
122.637634340,1,0,0,0,0
122.637634580,1,0,0,1,0
122.637635780,1,0,0,1,1
122.637637040,1,0,0,1,0
122.637638460,1,0,0,1,1
122.637639740,1,0,0,1,0
122.637639820,1,0,0,0,0
122.637641160,1,0,0,0,1
122.637642420,1,0,0,0,0
122.637643840,1,0,0,0,1
122.637645120,1,0,0,0,0
122.637645340,1,0,0,1,0
122.637646540,1,0,0,1,1
122.637647800,1,0,0,1,0
122.637648700,1,0,0,0,0
122.637650140,1,0,0,0,1
122.637651920,1,0,0,1,1
122.637688720,1,0,0,0,1
122.637690080,1,0,0,0,0
122.637690560,1,0,0,1,0
122.637691460,1,0,0,1,1
122.637692760,1,0,0,1,0
122.637694160,1,0,0,1,1
122.637695460,1,0,0,1,0
122.637695900,1,0,0,0,0
122.637696860,1,0,0,0,1
122.637698140,1,0,0,0,0
122.637698640,1,0,0,1,0
122.637699540,1,0,0,1,1
122.637700840,1,0,0,1,0
122.637701280,1,0,0,0,0
122.637702240,1,0,0,0,1
122.637703520,1,0,0,0,0
122.637704040,1,0,0,1,0
122.637704940,1,0,0,1,1
122.637706220,1,0,0,1,0
122.637706660,1,0,0,0,0
122.637707640,1,0,0,0,1
122.637708900,1,0,0,0,0
122.637710320,1,0,0,0,1
122.637711600,1,0,0,0,0
122.637713020,1,0,0,0,1
122.637714280,1,0,0,0,0
122.637714520,1,0,0,1,0
122.637715180,1,0,0,0,0
122.637716600,1,0,0,0,1
122.637717880,1,0,0,0,0
122.637719300,1,0,0,0,1
122.637720560,1,0,0,0,0
122.637721980,1,0,0,0,1
122.637723260,1,0,0,0,0
122.637724680,1,0,0,0,1
122.637725940,1,0,0,0,0
122.637726500,1,0,0,1,0
122.637727380,1,0,0,1,1
122.637728640,1,0,0,1,0
122.637730060,1,0,0,1,1
122.637731320,1,0,0,1,0
122.637732760,1,0,0,1,1
122.637734020,1,0,0,1,0
122.637735440,1,0,0,1,1
