Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4
172.784623520,1,0,0,0,1
172.786153280,1,1,0,1,1
172.786156140,1,0,0,1,1
172.793634300,0,0,0,1,1
179.142471400,1,0,0,0,0
179.143810460,1,1,0,1,1
179.143813860,1,0,0,1,1
179.151483840,0,0,0,1,1
182.673804440,1,0,0,1,0
182.675526820,1,1,0,1,1
182.675531700,1,0,0,1,1
182.682816920,0,0,1,1,1
189.030994800,1,0,0,1,1
189.032353940,1,1,0,1,1
189.032356860,1,0,0,1,1
189.040006040,0,0,0,0,0
192.562843900,1,0,0,0,1
192.564270060,1,1,0,1,1
192.564273540,1,0,0,1,1
192.571855260,0,0,0,0,1
198.919885760,1,0,0,1,1
198.921530480,1,1,0,1,1
198.921533720,1,0,0,1,1
198.928897420,0,0,0,1,1
203.157556980,1,0,0,1,1
203.158958980,1,1,0,1,1
203.158963760,1,0,0,1,1
203.166567140,0,0,0,1,1
208.808395080,1,0,1,1,0
208.809970220,1,1,0,1,1
208.809974500,1,0,0,1,1
208.817405480,0,0,0,1,1
213.046171280,1,0,0,1,1
213.047576820,1,1,0,1,1
213.047580300,1,0,0,1,1
213.055181840,0,0,0,0,0
219.403645180,1,0,1,1,1
219.405248000,1,1,0,1,1
219.405251140,1,0,0,1,1
219.412656280,0,0,0,0,1
222.935004220,1,0,1,1,1
222.936465960,1,1,0,1,1
222.936470500,1,0,0,1,1
222.944014880,0,0,0,1,1
229.292532640,1,0,0,0,1
229.293947300,1,1,0,1,1
229.293952300,1,0,0,1,1
229.301547060,0,0,0,1,1
232.824162480,1,0,0,1,1
232.825938740,1,1,0,1,1
232.825942060,1,0,0,1,0
232.833172120,0,0,0,1,0
239.181528200,1,0,0,1,0
239.182893320,1,1,0,1,1
239.182897920,1,0,0,1,1
239.190537940,0,0,1,1,1
242.712799180,1,0,0,0,0
242.714210160,1,1,0,1,1
242.714214700,1,0,0,1,1
242.721806620,0,0,1,0,1
249.069295380,1,0,0,1,1
249.070843020,1,1,0,1,1
249.070847560,1,0,0,1,1
249.078310420,0,0,0,1,1
252.601057060,1,0,0,1,0
252.603697100,1,1,0,1,1
252.603700220,1,0,0,1,1
252.610067900,0,0,0,1,1
258.957446900,1,0,0,1,1
258.958879340,1,1,1,1,1
258.958883780,1,0,1,1,1
258.966457360,0,0,0,1,1
263.194766680,1,0,0,1,0
263.196124100,1,1,0,1,1
263.196127380,1,0,0,1,1
263.203777240,0,0,0,0,1
269.550857540,1,0,0,0,0
269.552207200,1,1,1,1,1
269.552210380,1,0,1,1,1
269.559868380,0,0,0,1,1
273.082059400,1,0,0,0,0
273.083492840,1,1,0,1,1
273.083497580,1,0,0,0,1
273.091071900,0,0,0,1,1
278.732484760,1,0,0,1,1
278.733899600,1,1,0,1,1
278.733904200,1,0,0,1,1
278.741496560,0,0,0,1,1
282.970323340,1,0,0,0,0
282.971731180,1,1,0,1,1
282.971735140,1,0,0,1,1
282.979333060,0,0,0,0,0
289.327216580,1,0,0,0,1
289.328744480,1,1,0,1,1
289.328749320,1,0,0,1,1
289.336227900,0,0,0,1,1
292.858400820,1,0,0,0,0
292.859920060,1,1,0,1,1
292.859924500,1,0,0,1,1
292.867409700,0,0,0,1,0
299.215132620,1,0,0,1,1
299.217232520,1,1,0,1,1
299.217235640,1,0,0,1,0
299.224146840,0,0,0,1,1
