05-25-2026 21:14:17 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,3%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.875C soc2@46.656C soc0@46.437C gpu@47.5C tj@48.5C soc1@48.5C VDD_IN 4527mW/4799mW VDD_CPU_GPU_CV 480mW/692mW VDD_SOC 1442mW/1448mW
05-25-2026 21:14:17 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1270,0%@729,0%@729,1%@729,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.875C soc2@46.687C soc0@46.531C gpu@47.781C tj@48.562C soc1@48.562C VDD_IN 4487mW/4787mW VDD_CPU_GPU_CV 480mW/684mW VDD_SOC 1442mW/1448mW
05-25-2026 21:14:18 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1295,0%@729,0%@729,0%@729,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.156C soc2@46.593C soc0@46.312C gpu@47.593C tj@48.718C soc1@48.718C VDD_IN 4487mW/4776mW VDD_CPU_GPU_CV 480mW/676mW VDD_SOC 1442mW/1448mW
05-25-2026 21:14:18 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1302,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.781C soc2@46.531C soc0@46.437C gpu@47.468C tj@48.562C soc1@48.562C VDD_IN 4487mW/4766mW VDD_CPU_GPU_CV 480mW/670mW VDD_SOC 1442mW/1447mW
05-25-2026 21:14:19 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1275,0%@729,1%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.812C soc2@46.593C soc0@46.406C gpu@47.75C tj@48.531C soc1@48.5C VDD_IN 4527mW/4758mW VDD_CPU_GPU_CV 480mW/663mW VDD_SOC 1442mW/1447mW
05-25-2026 21:14:19 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1296,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48C soc2@46.593C soc0@46.531C gpu@47.593C tj@48.468C soc1@48.468C VDD_IN 4527mW/4751mW VDD_CPU_GPU_CV 480mW/657mW VDD_SOC 1442mW/1447mW
05-25-2026 21:14:20 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1270,0%@729,0%@729,0%@729,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.062C soc2@46.593C soc0@46.375C gpu@47.5C tj@48.687C soc1@48.687C VDD_IN 4527mW/4744mW VDD_CPU_GPU_CV 480mW/652mW VDD_SOC 1442mW/1447mW
05-25-2026 21:14:20 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1290,1%@729,0%@729,0%@729,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.75C soc2@46.593C soc0@46.437C gpu@47.562C tj@48.468C soc1@48.468C VDD_IN 4527mW/4737mW VDD_CPU_GPU_CV 480mW/647mW VDD_SOC 1442mW/1447mW
05-25-2026 21:14:21 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [3%@1727,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.968C soc2@46.562C soc0@46.468C gpu@47.5C tj@48.531C soc1@48.531C VDD_IN 4527mW/4731mW VDD_CPU_GPU_CV 480mW/642mW VDD_SOC 1442mW/1447mW
05-25-2026 21:14:21 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1287,0%@729,0%@729,0%@729,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.062C soc2@46.593C soc0@46.437C gpu@47.687C tj@48.625C soc1@48.625C VDD_IN 4527mW/4725mW VDD_CPU_GPU_CV 480mW/637mW VDD_SOC 1442mW/1446mW
05-25-2026 21:14:22 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1275,1%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.062C soc2@46.562C soc0@46.406C gpu@47.593C tj@48.5C soc1@48.5C VDD_IN 4527mW/4720mW VDD_CPU_GPU_CV 480mW/633mW VDD_SOC 1442mW/1446mW
05-25-2026 21:14:22 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [3%@1262,0%@729,1%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.812C soc2@46.406C soc0@46.406C gpu@47.468C tj@48.437C soc1@48.437C VDD_IN 4527mW/4715mW VDD_CPU_GPU_CV 480mW/629mW VDD_SOC 1442mW/1446mW
05-25-2026 21:14:23 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1728,0%@1728,0%@1728,0%@1728,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.906C soc2@46.531C soc0@46.468C gpu@47.718C tj@48.468C soc1@48.468C VDD_IN 4527mW/4710mW VDD_CPU_GPU_CV 480mW/625mW VDD_SOC 1442mW/1446mW
05-25-2026 21:14:23 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@729,0%@729,1%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48C soc2@46.625C soc0@46.343C gpu@47.718C tj@48.562C soc1@48.562C VDD_IN 4487mW/4704mW VDD_CPU_GPU_CV 480mW/621mW VDD_SOC 1442mW/1446mW
05-25-2026 21:14:24 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.031C soc2@46.562C soc0@46.468C gpu@47.468C tj@48.5C soc1@48.5C VDD_IN 4487mW/4699mW VDD_CPU_GPU_CV 480mW/618mW VDD_SOC 1442mW/1446mW
05-25-2026 21:14:24 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@729,0%@729,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48C soc2@46.5C soc0@46.406C gpu@47.562C tj@48.531C soc1@48.531C VDD_IN 4527mW/4694mW VDD_CPU_GPU_CV 480mW/614mW VDD_SOC 1442mW/1446mW
05-25-2026 21:14:25 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [3%@1729,1%@1728,1%@1728,0%@1728,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.875C soc2@46.562C soc0@46.468C gpu@47.531C tj@48.5C soc1@48.5C VDD_IN 4527mW/4690mW VDD_CPU_GPU_CV 480mW/611mW VDD_SOC 1442mW/1446mW
05-25-2026 21:14:25 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1278,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.968C soc2@46.593C soc0@46.312C gpu@47.5C tj@48.593C soc1@48.593C VDD_IN 4527mW/4687mW VDD_CPU_GPU_CV 480mW/608mW VDD_SOC 1442mW/1446mW
05-25-2026 21:14:26 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1276,1%@729,0%@729,1%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.031C soc2@46.468C soc0@46.375C gpu@47.437C tj@48.5C soc1@48.5C VDD_IN 4527mW/4683mW VDD_CPU_GPU_CV 480mW/605mW VDD_SOC 1442mW/1446mW
