05-25-2026 17:56:05 RAM 894/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [22%@729,11%@729,12%@729,4%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.593C soc2@46.187C soc0@45.937C gpu@47.375C tj@48.125C soc1@48.125C VDD_IN 4888mW/4895mW VDD_CPU_GPU_CV 833mW/787mW VDD_SOC 1430mW/1441mW
05-25-2026 17:56:06 RAM 894/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [18%@1728,8%@1728,10%@1728,10%@1728,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.656C soc2@46.25C soc0@46.031C gpu@47.25C tj@48.093C soc1@48.093C VDD_IN 4888mW/4895mW VDD_CPU_GPU_CV 793mW/787mW VDD_SOC 1430mW/1441mW
05-25-2026 17:56:06 RAM 894/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [18%@729,11%@729,10%@729,8%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.718C soc2@46.281C soc0@46.062C gpu@47.343C tj@48.187C soc1@48.187C VDD_IN 4888mW/4895mW VDD_CPU_GPU_CV 833mW/789mW VDD_SOC 1430mW/1440mW
05-25-2026 17:56:07 RAM 894/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [18%@729,6%@729,4%@729,13%@1089,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.875C soc2@46.187C soc0@45.968C gpu@47.187C tj@48.187C soc1@48.187C VDD_IN 4888mW/4894mW VDD_CPU_GPU_CV 793mW/789mW VDD_SOC 1430mW/1440mW
05-25-2026 17:56:07 RAM 894/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [25%@729,10%@729,13%@729,11%@729,0%@729,3%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.593C soc2@46.281C soc0@46.062C gpu@47.187C tj@48.218C soc1@48.218C VDD_IN 4888mW/4894mW VDD_CPU_GPU_CV 793mW/789mW VDD_SOC 1430mW/1440mW
05-25-2026 17:56:08 RAM 894/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [16%@729,13%@729,10%@729,11%@729,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.562C soc2@46.281C soc0@46.125C gpu@47.187C tj@48.25C soc1@48.25C VDD_IN 4888mW/4894mW VDD_CPU_GPU_CV 793mW/789mW VDD_SOC 1430mW/1439mW
05-25-2026 17:56:08 RAM 894/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [20%@1728,10%@1728,15%@1728,2%@1303,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.593C soc2@46.218C soc0@46C gpu@47.5C tj@48.187C soc1@48.187C VDD_IN 4888mW/4894mW VDD_CPU_GPU_CV 793mW/789mW VDD_SOC 1430mW/1439mW
05-25-2026 17:56:09 RAM 894/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [12%@1728,10%@1728,10%@1728,15%@1727,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.625C soc2@46.218C soc0@46.093C gpu@47.187C tj@48.187C soc1@48.187C VDD_IN 4888mW/4894mW VDD_CPU_GPU_CV 793mW/789mW VDD_SOC 1430mW/1439mW
05-25-2026 17:56:09 RAM 894/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [19%@729,9%@1171,15%@729,11%@1123,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.031C soc2@46.156C soc0@45.906C gpu@47.125C tj@48.125C soc1@48.125C VDD_IN 4888mW/4893mW VDD_CPU_GPU_CV 793mW/790mW VDD_SOC 1430mW/1438mW
05-25-2026 17:56:10 RAM 894/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [23%@729,6%@1090,8%@1174,6%@1728,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.656C soc2@46.281C soc0@46.125C gpu@47.625C tj@48.156C soc1@48.156C VDD_IN 4888mW/4893mW VDD_CPU_GPU_CV 833mW/791mW VDD_SOC 1430mW/1438mW
