05-26-2026 14:17:45 RAM 1627/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [13%@1728,5%@1728,5%@1728,0%@1728,19%@1728,19%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.875C soc2@46.187C soc0@45.937C gpu@47.343C tj@48.062C soc1@48.062C VDD_IN 5585mW/5663mW VDD_CPU_GPU_CV 1109mW/1198mW VDD_SOC 1465mW/1488mW
05-26-2026 14:17:45 RAM 1627/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [11%@1728,0%@1728,1%@1728,0%@1728,23%@1728,20%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.781C soc2@46.218C soc0@45.968C gpu@47.531C tj@48.062C soc1@48.062C VDD_IN 5546mW/5659mW VDD_CPU_GPU_CV 1109mW/1194mW VDD_SOC 1465mW/1487mW
05-26-2026 14:17:46 RAM 1627/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [12%@1728,3%@1728,4%@1728,3%@1728,16%@1728,16%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.593C soc2@46.093C soc0@46.031C gpu@47.343C tj@48.062C soc1@48.062C VDD_IN 5546mW/5654mW VDD_CPU_GPU_CV 1107mW/1191mW VDD_SOC 1465mW/1486mW
05-26-2026 14:17:46 RAM 1627/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [12%@1728,3%@1728,11%@1728,2%@1728,11%@1728,11%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.656C soc2@46.25C soc0@46C gpu@47.375C tj@48.031C soc1@48.031C VDD_IN 5506mW/5648mW VDD_CPU_GPU_CV 1069mW/1186mW VDD_SOC 1465mW/1485mW
05-26-2026 14:17:47 RAM 1627/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [13%@1728,0%@1728,11%@1728,1%@1728,10%@1728,10%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.656C soc2@46.343C soc0@46.125C gpu@47.25C tj@48.062C soc1@48.062C VDD_IN 5467mW/5642mW VDD_CPU_GPU_CV 1067mW/1182mW VDD_SOC 1465mW/1485mW
05-26-2026 14:17:47 RAM 1627/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [15%@1728,0%@1728,9%@1728,3%@1728,13%@1728,10%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.687C soc2@46.187C soc0@46.062C gpu@47.312C tj@48.125C soc1@48.125C VDD_IN 5467mW/5635mW VDD_CPU_GPU_CV 1069mW/1178mW VDD_SOC 1465mW/1484mW
05-26-2026 14:17:48 RAM 1627/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [13%@1728,3%@1728,7%@1728,0%@1728,9%@1728,11%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.687C soc2@46.25C soc0@46C gpu@47.562C tj@48.062C soc1@48.062C VDD_IN 5467mW/5630mW VDD_CPU_GPU_CV 1069mW/1174mW VDD_SOC 1465mW/1483mW
05-26-2026 14:17:48 RAM 1627/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [18%@1728,0%@1728,3%@1728,2%@1728,13%@1728,10%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.812C soc2@46.281C soc0@46.125C gpu@47.25C tj@48.187C soc1@48.187C VDD_IN 5467mW/5624mW VDD_CPU_GPU_CV 1069mW/1170mW VDD_SOC 1465mW/1483mW
05-26-2026 14:17:49 RAM 1627/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [12%@1728,3%@1728,7%@1728,3%@1728,8%@1728,15%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.843C soc2@46.25C soc0@46C gpu@47.437C tj@48.125C soc1@48.125C VDD_IN 5467mW/5619mW VDD_CPU_GPU_CV 1069mW/1167mW VDD_SOC 1465mW/1482mW
05-26-2026 14:17:49 RAM 1627/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [15%@1728,0%@1728,11%@1728,3%@1728,10%@1728,11%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.937C soc2@46.281C soc0@45.968C gpu@47.25C tj@48.187C soc1@48.187C VDD_IN 5467mW/5614mW VDD_CPU_GPU_CV 1069mW/1164mW VDD_SOC 1465mW/1482mW
