Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4
18.626114600,1,0,0,1,0
18.626116000,1,0,0,1,1
18.626117280,1,0,0,1,0
18.626117740,1,0,0,0,0
18.626118680,1,0,0,0,1
18.626119980,1,0,0,0,0
18.626120480,1,0,0,1,0
18.626121380,1,0,0,1,1
18.626122660,1,0,0,1,0
18.626123120,1,0,0,0,0
18.626124080,1,0,0,0,1
18.626125360,1,0,0,0,0
18.626125860,1,0,0,1,0
18.626126760,1,0,0,1,1
18.626128040,1,0,0,1,0
18.626128500,1,0,0,0,0
18.626129460,1,0,0,0,1
18.626130740,1,0,0,0,0
18.626132160,1,0,0,0,1
18.626133420,1,0,0,0,0
18.626134840,1,0,0,0,1
18.626136120,1,0,0,0,0
18.626136340,1,0,0,1,0
18.626137020,1,0,0,0,0
18.626138440,1,0,0,0,1
18.626139700,1,0,0,0,0
18.626141120,1,0,0,0,1
18.626142400,1,0,0,0,0
18.626143820,1,0,0,0,1
18.626145080,1,0,0,0,0
18.626146520,1,0,0,0,1
18.626147780,1,0,0,0,0
18.626148320,1,0,0,1,0
18.626149200,1,0,0,1,1
18.626150480,1,0,0,1,0
18.626151900,1,0,0,1,1
18.626153160,1,0,0,1,0
18.626154580,1,0,0,1,1
18.626155860,1,0,0,1,0
18.626157280,1,0,0,1,1
18.626158540,1,0,0,1,0
18.626158640,1,0,0,0,0
18.626159960,1,0,0,0,1
18.626161240,1,0,0,0,0
18.626161460,1,0,0,1,0
18.626162140,1,0,0,0,0
18.626163560,1,0,0,0,1
18.626165340,1,0,0,1,1
18.626213800,1,0,0,0,1
18.626215140,1,0,0,0,0
18.626215620,1,0,0,1,0
18.626216540,1,0,0,1,1
18.626217840,1,0,0,1,0
18.626219220,1,0,0,1,1
18.626220520,1,0,0,1,0
18.626220980,1,0,0,0,0
18.626221920,1,0,0,0,1
18.626223220,1,0,0,0,0
18.626223720,1,0,0,1,0
18.626224620,1,0,0,1,1
18.626225900,1,0,0,1,0
18.626226360,1,0,0,0,0
18.626227320,1,0,0,0,1
18.626228600,1,0,0,0,0
18.626229100,1,0,0,1,0
18.626230000,1,0,0,1,1
18.626231280,1,0,0,1,0
18.626231740,1,0,0,0,0
18.626232700,1,0,0,0,1
18.626233980,1,0,0,0,0
18.626235400,1,0,0,0,1
18.626236660,1,0,0,0,0
18.626238080,1,0,0,0,1
18.626239360,1,0,0,0,0
18.626239580,1,0,0,1,0
18.626240240,1,0,0,0,0
18.626241680,1,0,0,0,1
18.626242940,1,0,0,0,0
18.626244360,1,0,0,0,1
18.626245640,1,0,0,0,0
18.626247060,1,0,0,0,1
18.626248320,1,0,0,0,0
18.626249740,1,0,0,0,1
18.626251020,1,0,0,0,0
18.626251560,1,0,0,1,0
18.626252440,1,0,0,1,1
18.626253700,1,0,0,1,0
18.626255140,1,0,0,1,1
18.626256400,1,0,0,1,0
18.626257820,1,0,0,1,1
18.626259080,1,0,0,1,0
18.626260520,1,0,0,1,1
18.626261780,1,0,0,1,0
18.626261880,1,0,0,0,0
18.626263200,1,0,0,0,1
18.626264480,1,0,0,0,0
18.626264680,1,0,0,1,0
18.626265360,1,0,0,0,0
18.626266800,1,0,0,0,1
18.626268580,1,0,0,1,1
18.626308760,1,0,0,0,1
18.626310100,1,0,0,0,0
18.626310580,1,0,0,1,0
18.626311480,1,0,0,1,1
18.626312800,1,0,0,1,0
18.626314180,1,0,0,1,1
18.626315480,1,0,0,1,0
18.626315940,1,0,0,0,0
18.626316880,1,0,0,0,1
18.626318180,1,0,0,0,0
18.626318660,1,0,0,1,0
18.626319580,1,0,0,1,1
18.626320860,1,0,0,1,0
18.626321320,1,0,0,0,0
18.626322280,1,0,0,0,1
18.626323540,1,0,0,0,0
18.626324060,1,0,0,1,0
18.626324960,1,0,0,1,1
18.626326240,1,0,0,1,0
18.626326700,1,0,0,0,0
18.626327660,1,0,0,0,1
18.626328920,1,0,0,0,0
18.626330340,1,0,0,0,1
18.626331620,1,0,0,0,0
18.626333040,1,0,0,0,1
18.626334320,1,0,0,0,0
18.626334540,1,0,0,1,0
18.626335200,1,0,0,0,0
18.626336640,1,0,0,0,1
18.626337900,1,0,0,0,0
18.626338440,1,0,0,1,0
18.626339320,1,0,0,1,1
18.626340600,1,0,0,1,0
18.626342020,1,0,0,1,1
18.626343280,1,0,0,1,0
18.626344700,1,0,0,1,1
18.626345980,1,0,0,1,0
18.626346420,1,0,0,0,0
18.626347400,1,0,0,0,1
18.626348660,1,0,0,0,0
18.626350080,1,0,0,0,1
18.626351360,1,0,0,0,0
18.626352780,1,0,0,0,1
18.626354040,1,0,0,0,0
18.626355480,1,0,0,0,1
18.626356740,1,0,0,0,0
18.626358160,1,0,0,0,1
18.626359420,1,0,0,0,0
18.626359660,1,0,0,1,0
18.626390480,1,0,0,1,1
18.626391740,1,0,0,0,1
18.626393060,1,0,0,0,0
18.626393560,1,0,0,1,0
18.626394500,1,0,0,1,1
18.626395760,1,0,0,1,0
18.626397200,1,0,0,1,1
18.626398440,1,0,0,1,0
18.626398920,1,0,0,0,0
18.626399880,1,0,0,0,1
18.626401140,1,0,0,0,0
18.626401640,1,0,0,1,0
18.626402580,1,0,0,1,1
18.626403840,1,0,0,1,0
18.626404300,1,0,0,0,0
18.626405260,1,0,0,0,1
18.626406520,1,0,0,0,0
18.626407040,1,0,0,1,0
18.626407960,1,0,0,1,1
18.626409220,1,0,0,1,0
18.626409680,1,0,0,0,0
18.626410640,1,0,0,0,1
18.626411900,1,0,0,0,0
18.626412420,1,0,0,1,0
