Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4
88.542164500,0,0,0,1,1
92.770341880,1,0,0,0,1
92.771562960,1,1,0,1,1
92.771566040,1,0,0,1,1
92.779349280,0,0,0,1,1
99.125351660,1,0,0,0,0
99.126638200,1,1,0,1,1
99.126641520,1,0,0,1,1
99.134359880,0,0,0,0,1
102.656230260,1,0,0,1,1
102.657527000,1,1,0,1,1
102.657530020,1,0,0,1,1
102.665238140,0,0,0,0,1
109.011225440,1,0,0,1,1
109.012473320,1,1,0,1,1
109.012476440,1,0,0,1,1
109.020235340,0,0,0,1,1
112.542010960,1,0,0,1,0
112.543349140,1,1,0,1,1
112.543352220,1,0,0,1,1
112.551020320,0,0,0,1,1
118.897845700,1,0,0,1,0
118.899167560,1,1,0,1,1
118.899170740,1,0,0,1,1
118.906854960,0,0,0,1,1
122.428498220,1,0,0,1,1
122.429822580,1,1,0,1,1
122.429825980,1,0,0,1,1
122.437505580,0,0,0,1,1
128.785088200,1,0,0,1,1
128.786413360,1,1,0,1,1
128.786416440,1,0,0,1,1
128.794099540,0,0,0,0,0
132.315832180,1,0,0,1,1
132.317202040,1,1,0,1,1
132.317205220,1,0,0,1,1
132.324840580,0,0,0,0,1
138.671021460,1,0,0,1,0
138.672338960,1,1,0,1,1
138.672341780,1,0,0,1,1
138.680031840,0,0,0,1,0
142.907801600,1,0,0,1,1
142.909054160,1,1,1,1,1
142.909057500,1,0,1,1,1
142.916808600,0,0,0,1,1
148.555483400,1,0,0,1,0
148.556709920,1,1,0,1,1
148.556713160,1,0,0,1,1
148.564490260,0,0,0,0,0
152.791306980,1,0,0,1,1
152.792553280,1,1,0,1,1
152.792556760,1,0,0,1,1
152.800316280,0,0,0,1,0
158.438738620,1,0,0,1,1
158.439995360,1,1,0,1,1
158.439998420,1,0,0,1,1
158.447744940,0,0,0,0,0
162.674091560,1,0,0,1,1
162.675453540,1,1,0,1,1
162.675456720,1,0,0,1,1
162.683099120,0,0,0,0,1
168.321929280,1,0,0,1,1
168.323294200,1,1,0,1,1
168.323297380,1,0,0,1,1
168.330937780,0,0,0,0,0
172.557714760,1,0,1,1,1
172.559060360,1,1,0,1,1
172.559063260,1,0,0,1,1
172.566720360,0,0,0,1,1
178.911156800,1,0,0,1,1
178.912469040,1,1,0,1,1
178.912472280,1,0,0,1,1
178.920164800,0,0,0,1,1
182.440716460,1,0,0,0,0
182.441952200,1,1,0,1,1
182.441955280,1,0,0,1,1
182.449721200,0,0,0,0,1
188.793746840,1,0,0,1,1
188.795073500,1,1,1,1,1
188.795076380,1,0,1,1,1
188.802752500,0,0,0,1,1
192.323497160,1,0,0,0,0
192.324770640,1,1,0,1,1
192.324773920,1,0,0,1,1
192.332502780,0,0,0,0,0
198.678255700,1,0,0,1,1
198.679528300,1,1,0,1,1
198.679531640,1,0,0,1,1
198.687260860,0,0,0,1,1
202.913779740,1,0,0,1,1
202.915086380,1,1,0,1,1
202.915089240,1,0,0,1,1
202.922784420,0,0,0,1,1
208.561663240,1,0,0,0,0
208.562919620,1,1,0,1,1
208.562922900,1,0,0,1,1
208.570669160,0,0,0,0,0
212.797195580,1,0,0,1,0
212.798437700,1,1,0,1,1
212.798440880,1,0,0,1,1
212.806200360,0,0,0,1,1
218.445105900,1,0,0,1,0
218.445105920,0,0,0,1,0
218.445105940,1,0,0,1,0
218.446364900,1,1,0,1,1
218.446368140,1,0,0,1,1
218.454116420,0,0,0,1,1
222.680966660,1,0,0,0,0
222.682310500,1,1,0,1,1
222.682313740,1,0,0,1,1
222.689973900,0,0,1,1,1
228.328732260,1,0,0,1,1
228.330054180,1,1,0,1,1
228.330057240,1,0,0,1,1
228.337739720,0,0,0,1,1
232.564489160,1,0,0,1,1
232.565766640,1,1,0,1,1
232.565769920,1,0,0,1,1
232.573494840,0,0,0,0,0
238.918085060,1,0,0,1,1
238.918085120,0,0,0,1,1
238.918085140,1,0,0,1,0
238.919374900,1,1,0,1,1
238.919377980,1,0,0,1,1
238.927090940,0,0,0,0,1
242.447560020,1,0,0,0,1
242.448807300,1,1,1,1,1
242.448810580,1,0,1,1,1
242.456566120,0,0,0,1,1
248.800895280,1,0,0,1,0
248.802146580,1,1,0,1,1
248.802149860,1,0,0,1,1
248.809901080,0,0,0,1,1
252.330712200,1,0,0,1,1
252.331975480,1,1,0,1,1
252.331978500,1,0,0,1,1
252.339720040,0,0,1,1,1
258.684229540,1,0,0,0,1
258.685576160,1,1,0,1,1
258.685579440,1,0,0,1,1
258.693237860,0,0,0,1,1
262.919610640,1,0,0,1,1
262.919610720,0,0,0,1,1
262.919610740,1,0,0,1,1
262.920989420,1,1,0,1,1
262.920992600,1,0,0,1,1
262.928616800,0,0,0,0,0
268.566321740,1,0,0,0,1
268.567642340,1,1,0,1,1
268.567645620,1,0,0,1,1
268.575327500,0,0,0,1,0
272.801415180,1,0,0,0,0
272.802684980,1,1,0,1,1
272.802688160,1,0,0,1,1
272.810420300,0,0,0,1,1
278.449316160,1,0,0,1,1
278.450552060,1,1,0,1,1
278.450555080,1,0,0,1,1
278.458322760,0,0,0,0,1
282.684489340,1,0,0,1,0
282.685773320,1,1,0,1,1
282.685776280,1,0,0,1,1
282.693493060,0,0,0,0,0
288.331664560,1,0,0,1,1
288.332896680,1,1,0,1,1
288.332899820,1,0,0,1,1
288.340671080,0,0,0,1,1
292.567834980,1,0,0,1,1
292.569052540,1,1,0,1,1
292.569055560,1,0,0,1,1
292.576840980,0,0,0,0,0
298.922503760,1,0,0,1,1
298.923826200,1,1,0,1,1
298.923829440,1,0,0,1,1
298.931509940,0,0,0,1,1
