05-26-2026 17:42:19 RAM 1636/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.187C soc2@45.75C soc0@44.843C gpu@46.375C tj@48.187C soc1@47.125C VDD_IN 8757mW/6015mW VDD_CPU_GPU_CV 4166mW/1544mW VDD_SOC 1512mW/1488mW
05-26-2026 17:42:19 RAM 1636/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.312C soc2@45.843C soc0@45.031C gpu@46.656C tj@48.312C soc1@47.187C VDD_IN 8703mW/6127mW VDD_CPU_GPU_CV 4206mW/1655mW VDD_SOC 1470mW/1487mW
05-26-2026 17:42:20 RAM 1636/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.531C soc2@45.937C soc0@44.906C gpu@46.843C tj@48.531C soc1@47.281C VDD_IN 8703mW/6230mW VDD_CPU_GPU_CV 4206mW/1757mW VDD_SOC 1470mW/1486mW
05-26-2026 17:42:20 RAM 1636/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.218C soc2@45.812C soc0@44.937C gpu@46.656C tj@48.218C soc1@47.218C VDD_IN 8703mW/6325mW VDD_CPU_GPU_CV 4206mW/1851mW VDD_SOC 1470mW/1486mW
05-26-2026 17:42:21 RAM 1636/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.343C soc2@45.937C soc0@44.937C gpu@46.875C tj@48.343C soc1@47.281C VDD_IN 8703mW/6413mW VDD_CPU_GPU_CV 4206mW/1938mW VDD_SOC 1470mW/1485mW
05-26-2026 17:42:21 RAM 1636/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,98%@1728,100%@1728,94%@1728,100%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.375C soc2@45.937C soc0@45.062C gpu@46.718C tj@48.375C soc1@47.343C VDD_IN 8743mW/6496mW VDD_CPU_GPU_CV 4166mW/2018mW VDD_SOC 1510mW/1486mW
05-26-2026 17:42:22 RAM 1636/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.437C soc2@46C soc0@45.125C gpu@46.687C tj@48.437C soc1@47.375C VDD_IN 8743mW/6574mW VDD_CPU_GPU_CV 4206mW/2093mW VDD_SOC 1470mW/1485mW
05-26-2026 17:42:22 RAM 1636/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.531C soc2@46.062C soc0@45.156C gpu@46.718C tj@48.531C soc1@47.343C VDD_IN 8703mW/6645mW VDD_CPU_GPU_CV 4206mW/2164mW VDD_SOC 1470mW/1485mW
05-26-2026 17:42:23 RAM 1636/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.593C soc2@46C soc0@45.312C gpu@46.718C tj@48.593C soc1@47.468C VDD_IN 8703mW/6711mW VDD_CPU_GPU_CV 4206mW/2229mW VDD_SOC 1470mW/1484mW
05-26-2026 17:42:23 RAM 1636/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.718C soc2@46.125C soc0@45.156C gpu@46.875C tj@48.718C soc1@47.5C VDD_IN 8703mW/6773mW VDD_CPU_GPU_CV 4206mW/2291mW VDD_SOC 1470mW/1484mW
